Participant,Experimental_Group,recruitment_platform,Effects_Perception
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,4.666666667
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,4.666666667
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
1,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,4.666666667
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,4.666666667
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,4.666666667
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,4.666666667
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
2,Not Disclosed,Prolific,5
