Participant,Experimental_Group,recruitment_platform,Negative_attitudes,Effects_Perception
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,4.666666667
1,Disclosed,Prolific,2,3.666666667
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,4.333333333
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,4.666666667
1,Disclosed,Prolific,2,4.666666667
1,Disclosed,Prolific,2,4.666666667
1,Disclosed,Prolific,2,4.666666667
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,2.666666667
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,3.333333333
1,Disclosed,Prolific,2,3.333333333
1,Disclosed,Prolific,2,3
1,Disclosed,Prolific,2,4.333333333
1,Disclosed,Prolific,2,3.333333333
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,3.666666667
1,Disclosed,Prolific,2,3.666666667
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,3.333333333
1,Disclosed,Prolific,2,5
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,4
1,Disclosed,Prolific,2,1.666666667
1,Disclosed,Prolific,2,5
1,Disclosed,Prolific,2,4.333333333
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
2,Not Disclosed,Prolific,3,5
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3
3,Disclosed,Prolific,3.25,3.333333333
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,4
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,4
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,4
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,3.666666667
3,Disclosed,Prolific,3.25,4
3,Disclosed,Prolific,3.25,4
